Tickersymbol,YahooTicker,YahooExchange,CompanyName
RUSTA,RUSTA.ST,Stockholm Stock Exchange,Yahoo Finance
SBB B,SBB-B.ST,Stockholm Stock Exchange,Yahoo Finance
SBB D,SBB-D.ST,Stockholm Stock Exchange,Yahoo Finance
SCST,SCSTST,Stockholm Stock Exchange,Yahoo Finance
SHOT,SHOTST,Stockholm Stock Exchange,Yahoo Finance
SDIP B,SDIP-B.ST,Stockholm Stock Exchange,Yahoo Finance
SDIP PREF,SDIP-PREF.ST,Stockholm Stock Exchange,Yahoo Finance
SEDANA,SEDANA.ST,Stockholm Stock Exchange,Yahoo Finance
SKIS B,SKIS-B.ST,Stockholm Stock Exchange,Yahoo Finance
STEF B,STEF-B.ST,Stockholm Stock Exchange,Yahoo Finance
SFAST,SFAST.ST,Stockholm Stock Exchange,Yahoo Finance
SF,SFST,Stockholm Stock Exchange,Yahoo Finance
SVOL A,SVOL-A.ST,Stockholm Stock Exchange,Yahoo Finance
SVOL B,SVOL-B.ST,Stockholm Stock Exchange,Yahoo Finance
SLP B,SLP-B.ST,Stockholm Stock Exchange,Yahoo Finance
SYNSAM,SYNSAM.ST,Stockholm Stock Exchange,Yahoo Finance
TFBANK,TFBANK.ST,Stockholm Stock Exchange,Yahoo Finance
TRAC B,TRAC-B.ST,Stockholm Stock Exchange,Yahoo Finance
TRIAN B,TRIAN-B.ST,Stockholm Stock Exchange,Yahoo Finance
VBG B,VBG-B.ST,Stockholm Stock Exchange,Yahoo Finance
VEFAB,VEFAB.ST,Stockholm Stock Exchange,Yahoo Finance
VESTUM,VESTUM.ST,Stockholm Stock Exchange,Yahoo Finance
VPLAY A,VPLAY-A.ST,Stockholm Stock Exchange,Yahoo Finance
VPLAY B,VPLAY-B.ST,Stockholm Stock Exchange,Yahoo Finance
VISC,VISCST,Stockholm Stock Exchange,Yahoo Finance
VNV,VNVST,Stockholm Stock Exchange,Yahoo Finance
VOLO,VOLO.ST,Stockholm Stock Exchange,Yahoo Finance
VOLO PREF,VOLO-PREF.ST,Stockholm Stock Exchange,Yahoo Finance
XANO B,XANO-B.ST,Stockholm Stock Exchange,Yahoo Finance
XVIVO,XVIVO.ST,Stockholm Stock Exchange,Yahoo Finance
ORES,ORES.ST,Stockholm Stock Exchange,Yahoo Finance
